Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XLM,2020-01-29,0.0609385278,0.060366799,0.0628814061,0.0601684507
XLM,2020-01-30,0.0627864312,0.0607425933,0.0628026237,0.0596504992
XLM,2020-01-31,0.060894478,0.0628170003,0.0630203971,0.0597376249
XLM,2020-02-01,0.0620025834,0.060899713,0.0624453062,0.0603698839
XLM,2020-02-02,0.0645185222,0.0621745683,0.0660223711,0.0609120515
XLM,2020-02-03,0.0639167122,0.064518595,0.0658715395,0.0625172608
XLM,2020-02-04,0.0656403856,0.0642257501,0.0673434898,0.0615989631
XLM,2020-02-05,0.0686675667,0.0656460834,0.0696110689,0.065344587
XLM,2020-02-06,0.0703726512,0.0689918397,0.071737509,0.0674722889
XLM,2020-02-07,0.0717632823,0.0703735926,0.0735304152,0.0702243678
XLM,2020-02-08,0.0711471636,0.0717630157,0.072116171,0.0675289121
XLM,2020-02-09,0.0729924325,0.0709449148,0.073944289,0.0708433354
XLM,2020-02-10,0.0704330226,0.0729889436,0.0737715054,0.0686055201
XLM,2020-02-11,0.0744518551,0.0705314323,0.0749498191,0.0687526983
XLM,2020-02-12,0.0812849619,0.0744524886,0.0826897823,0.0741291777
XLM,2020-02-13,0.082762309,0.0812886381,0.0879645039,0.0791740058
XLM,2020-02-14,0.0863880545,0.0833242672,0.0873524101,0.0800207494
XLM,2020-02-15,0.0794269857,0.0863877365,0.0890088227,0.0760379251
XLM,2020-02-16,0.0737339897,0.0794234979,0.0814235394,0.0668177407
XLM,2020-02-17,0.0713183031,0.0744882182,0.0751884596,0.0671125261
XLM,2020-02-18,0.0761454653,0.0713185128,0.0769051602,0.0702734909
XLM,2020-02-19,0.0723047366,0.0761551014,0.0796450875,0.0686745191
XLM,2020-02-20,0.0705956033,0.0701270798,0.0716079326,0.0673591034
XLM,2020-02-21,0.0703448826,0.0705936739,0.0729551382,0.0697239352
XLM,2020-02-22,0.0702325932,0.0711064628,0.0716577723,0.0693559403
XLM,2020-02-23,0.0728758769,0.0702313745,0.0734418442,0.0699919582
XLM,2020-02-24,0.0687387842,0.0728761613,0.0736721604,0.0672575762
XLM,2020-02-25,0.0649560249,0.068738104,0.0692899023,0.0634245966
XLM,2020-02-26,0.0588991926,0.0649533715,0.0649638389,0.055443643
XLM,2020-02-27,0.0605399329,0.0589061054,0.0629481961,0.0559540197
XLM,2020-02-28,0.0589955209,0.0603645828,0.0615007189,0.0564778081
XLM,2020-02-29,0.057626128,0.0589984691,0.0599552996,0.0572051499
XLM,2020-03-01,0.0561932784,0.0576264561,0.0586407352,0.0548662665
XLM,2020-03-02,0.0595312667,0.0561919354,0.0602764747,0.0555874843
XLM,2020-03-03,0.0582861094,0.0597340394,0.0603620252,0.0576514424
XLM,2020-03-04,0.0584511664,0.0582864385,0.05913227,0.05764699
XLM,2020-03-05,0.0598156777,0.0584524396,0.061013717,0.0584346122
XLM,2020-03-06,0.0606138319,0.0597462874,0.0613339385,0.0592939356
XLM,2020-03-07,0.058665705,0.0606127141,0.0616752687,0.0579984455
XLM,2020-03-08,0.050749101,0.0586675222,0.0587273094,0.0497840018
XLM,2020-03-09,0.0514929583,0.0507401375,0.0521684609,0.0474526779
XLM,2020-03-10,0.0524484622,0.0524138297,0.0533072825,0.0506645531
XLM,2020-03-11,0.0502857026,0.0524611378,0.0526131713,0.0473122532
XLM,2020-03-12,0.0381554974,0.0502984498,0.0506862985,0.0337564606
XLM,2020-03-13,0.04048402,0.0381531396,0.0423846835,0.0266864157
XLM,2020-03-14,0.0374163968,0.0404723041,0.0412853624,0.037041396
XLM,2020-03-15,0.0377525597,0.0374166612,0.0412535869,0.0362591857
XLM,2020-03-16,0.0344885083,0.0377519659,0.0383864069,0.0316023627
XLM,2020-03-17,0.0379106976,0.0344880309,0.0384877568,0.0344761373
XLM,2020-03-18,0.0365994602,0.0379081711,0.0381267339,0.0345804263
XLM,2020-03-19,0.0422982477,0.0365987844,0.0429567715,0.0364961115
XLM,2020-03-20,0.0396470851,0.0422914557,0.0447088276,0.0356452813
XLM,2020-03-21,0.0395187682,0.0396570545,0.0411149219,0.0380792545
XLM,2020-03-22,0.0370509983,0.0395184639,0.0407047073,0.0365528022
XLM,2020-03-23,0.0392749698,0.03679543,0.0402047223,0.0361894959
XLM,2020-03-24,0.0405288746,0.0392726492,0.0408390436,0.0391827579
XLM,2020-03-25,0.0405887926,0.0405296827,0.0411338442,0.0391106792
XLM,2020-03-26,0.0419186011,0.0406250579,0.0424098485,0.0399551239
XLM,2020-03-27,0.0425488721,0.0419174924,0.0435666241,0.041321371
XLM,2020-03-28,0.0399734079,0.0425568945,0.0425755262,0.0388795269
XLM,2020-03-29,0.0380686658,0.0399739652,0.0402267802,0.0379445211
