Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
USDT,2020-02-27,0.9991721852,0.9995391797,1.0021494977,0.9970503142
USDT,2020-02-28,1.0011396092,0.9998973198,1.0021766274,0.9976436642
USDT,2020-02-29,1.0005504492,1.0011396092,1.0024811068,1.0003896304
USDT,2020-03-01,0.9990789892,1.0005504492,1.0011836674,0.9984319578
USDT,2020-03-02,1.0008582447,0.9990789892,1.0022503059,0.9976912911
USDT,2020-03-03,1.0012774658,1.0008582447,1.0041510301,0.9991325269
USDT,2020-03-04,1.0014573515,1.0012774658,1.0036853348,0.9995614113
USDT,2020-03-05,1.0019278265,1.0014572939,1.0034674212,0.9974953566
USDT,2020-03-06,1.0024277551,1.0018031374,1.0058120273,0.9998942595
USDT,2020-03-07,1.0017196973,1.0024277551,1.003313836,1.0011590596
USDT,2020-03-08,1.0007598178,1.0017196973,1.0030437588,0.9979766131
USDT,2020-03-09,0.9999115698,1.0007598178,1.0044718867,0.9947425757
USDT,2020-03-10,0.9999468728,1.0011247087,1.0083781562,0.9984450021
USDT,2020-03-11,1.0004533287,0.9999468728,1.0034574068,0.9939347137
USDT,2020-03-12,0.999759428,1.0004533287,1.0081948012,0.9948459053
USDT,2020-03-13,1.0140259479,0.999759428,1.0647404844,0.994749656
USDT,2020-03-14,1.0020576404,1.0140259467,1.0281922102,1.001619113
USDT,2020-03-15,0.9982695322,1.0020576404,1.1885853633,0.9976847354
USDT,2020-03-16,1.0029352958,0.9983256906,1.0090903573,0.9967450106
USDT,2020-03-17,1.0067103973,1.0029352958,1.0196541399,1.0013144492
USDT,2020-03-18,1.0042106171,1.0067139561,1.0128673349,1.0017365854
USDT,2020-03-19,1.0045829851,1.0042106171,1.0152019569,1.0019301077
USDT,2020-03-20,1.0019824181,1.0045829851,1.0072158962,0.9983594529
USDT,2020-03-21,1.0036580142,1.0019824181,1.006524688,1.00077
USDT,2020-03-22,1.0018357181,1.0036580142,1.0055366915,1.00054
USDT,2020-03-23,1.0030709728,1.0005238964,1.0053828632,0.9994368528
USDT,2020-03-24,1.0036392467,1.0030709895,1.0070244364,1.0027689684
USDT,2020-03-25,1.0026164001,1.0036392467,1.0088827973,1.0013585611
USDT,2020-03-26,1.0032082514,1.0026101094,1.0050059296,1.0012
USDT,2020-03-27,1.0033937323,1.0032082347,1.0053213896,1.000012782
USDT,2020-03-28,1.0026133233,1.0033937323,1.0047479683,1.0008
USDT,2020-03-29,1.000559515,1.0026133233,1.003142046,1.0003
USDT,2020-03-30,1.0030397367,0.9999710723,1.0052495042,0.999848343
USDT,2020-03-31,1.002389544,1.0030397367,1.0037111063,1.0011183596
USDT,2020-04-01,1.0024509116,1.002389544,1.0031101788,1.0009697795
USDT,2020-04-02,1.0010289753,1.0024509116,1.0036052753,0.9996051227
USDT,2020-04-03,1.0016143345,1.0004335895,1.0030408898,1.0001263233
USDT,2020-04-04,1.0019731134,1.0016143345,1.0028283924,1.0010103833
USDT,2020-04-05,1.0015218159,1.0021342073,1.0024750921,1.0006353372
USDT,2020-04-06,1.0016076561,1.0015218159,1.0033091332,1.0009166976
USDT,2020-04-07,1.0004811095,1.0016076561,1.0033439867,1.0000139842
USDT,2020-04-08,1.0013021263,1.0004811095,1.0023356536,0.9998999278
USDT,2020-04-09,1.0014654422,1.0013021263,1.014603969,1.0002418936
USDT,2020-04-10,1.0015183547,1.0014654422,1.0026856914,1.0007664128
USDT,2020-04-11,1.0022251637,1.0015231574,1.0022251741,1.0012548078
USDT,2020-04-12,1.0021137475,1.0022251637,1.0037722683,1.0013999854
USDT,2020-04-13,1.0024812391,1.0021137475,1.0030038254,1.0010063913
USDT,2020-04-14,1.0018474856,1.0024812391,1.0037195091,1.0012061216
USDT,2020-04-15,1.0014878555,1.0018474856,1.0029338952,1.0001401577
USDT,2020-04-16,1.0013453439,1.001182052,1.0023807256,1.0000378513
USDT,2020-04-17,1.0016416646,1.0013453545,1.0034372472,0.999766422
USDT,2020-04-18,1.0021998212,1.0016397958,1.003248039,1.0000156224
USDT,2020-04-19,1.0017546896,1.0021998212,1.0024968708,1.0011737771
USDT,2020-04-20,1.0018288933,1.0017546896,1.0023178523,1.0008379938
USDT,2020-04-21,1.0019103307,1.0018288933,1.0038122913,1.0009021606
USDT,2020-04-22,1.0008795879,1.0019103307,1.0031054031,1.0002978649
USDT,2020-04-23,1.0011798184,1.0008795879,1.0035214127,0.9996053496
USDT,2020-04-24,1.0015675894,1.0004711394,1.0021680524,0.9991666428
USDT,2020-04-25,1.0011236448,1.0015675894,1.0019164509,1.0002469877
USDT,2020-04-26,1.0015827392,1.0011236448,1.0032330197,1.0005413837
USDT,2020-04-27,1.0020076033,1.0015827392,1.0029373453,0.9999657057
USDT,2020-04-28,1.0017065114,1.0019712661,1.0031581028,1.0002605479
USDT,2020-04-29,1.002117255,1.0017055346,1.0041719489,1.0009724723
