Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
USDC,2020-04-20,1.0004897407,1.0001817839,1.0019555452,0.9993289782
USDC,2020-04-21,1.0005339103,1.0004897408,1.00196868,0.9991908406
USDC,2020-04-22,0.9998558851,1.0005339103,1.002110636,0.9989683884
USDC,2020-04-23,0.9996983189,0.9998558851,1.0028879491,0.9975393087
USDC,2020-04-24,1.0005319417,0.9996992145,1.0012270534,0.9990828628
USDC,2020-04-25,1.000139037,1.0005319417,1.0012928281,0.9988619991
USDC,2020-04-26,1.000300567,1.000139037,1.0017106353,0.9989006817
USDC,2020-04-27,1.0006464585,1.000300567,1.0020041717,0.9984466761
USDC,2020-04-28,1.0002206873,1.0006464585,1.0024882524,0.996481059
USDC,2020-04-29,1.000341646,1.000220699,1.0028760841,0.9991974049
USDC,2020-04-30,1.0008891644,1.000341646,1.002161624,0.9959567403
USDC,2020-05-01,0.9999539279,1.0006443428,1.0014651179,0.9982883878
USDC,2020-05-02,1.0022321002,0.9999539283,1.0032113337,0.9996795633
USDC,2020-05-03,1.0002219185,1.0022321002,1.0031826265,0.9996221272
USDC,2020-05-04,1.0002224884,1.0002219185,1.0016500962,0.9986488906
USDC,2020-05-05,1.000354045,1.0003128081,1.0028111802,0.9990248193
USDC,2020-05-06,1.0003210499,1.000354045,1.0024778016,0.9990835318
USDC,2020-05-07,0.9995590888,1.0004530463,1.0019242355,0.9985995276
USDC,2020-05-08,1.0005134929,0.9995590888,1.0015940387,0.999154668
USDC,2020-05-09,1.0017052263,1.0005134908,1.0039417557,0.9998110675
USDC,2020-05-10,1.0005097085,1.0017052263,1.0179071069,0.9999783998
USDC,2020-05-11,0.999917205,1.0005097083,1.0028646138,0.9990837867
USDC,2020-05-12,1.0004923081,0.999917205,1.0014127588,0.9985645795
USDC,2020-05-13,1.0003522833,1.0004945771,1.0029307938,0.999454473
USDC,2020-05-14,0.9997600353,1.0003522833,1.0017132136,0.9989650334
USDC,2020-05-15,1.0001265377,0.9997600353,1.0017815712,0.9983287224
USDC,2020-05-16,1.000245652,1.0001265377,1.0009215327,0.9990557435
USDC,2020-05-17,0.9991442148,1.000245652,1.0008009909,0.9979864174
USDC,2020-05-18,1.0004805865,0.9991442148,1.0016453759,0.9980603281
USDC,2020-05-19,1.000134235,1.0003612934,1.0039203426,0.9984164909
USDC,2020-05-20,1.0005473577,1.0001333723,1.0029360993,0.9989311746
USDC,2020-05-21,1.0007210803,1.0006358852,1.0038626378,0.9991968061
USDC,2020-05-22,1.0003223618,1.0007210803,1.0021413527,0.9966882331
USDC,2020-05-23,1.0001115071,1.0003223618,1.0010587765,0.9991309274
USDC,2020-05-24,0.9998720215,1.0001115071,1.0011335732,0.9996189281
USDC,2020-05-25,1.00041105,0.9998720215,1.0014053658,0.9993819695
USDC,2020-05-26,1.0007371911,1.00041105,1.0017216256,0.9992717682
USDC,2020-05-27,1.000429748,1.0007371911,1.0017323893,0.9977296974
USDC,2020-05-28,0.9997415064,1.000429748,1.0009775373,0.9200281233
USDC,2020-05-29,1.0004658421,0.9997415075,1.0038938169,0.9988983906
USDC,2020-05-30,0.9998017721,1.0004918907,1.0010697073,0.9980983471
USDC,2020-05-31,1.000330144,0.9998874587,1.0011463544,0.9993203039
USDC,2020-06-01,0.9989792135,1.000330144,1.0013919289,0.9931132735
USDC,2020-06-02,1.0005705542,0.9988841072,1.0036760385,0.9962151109
USDC,2020-06-03,1.0001561395,1.0005705542,1.0013895412,0.9994108994
USDC,2020-06-04,0.999795695,1.0001561395,1.0014696121,0.9978116961
USDC,2020-06-05,1.000597194,0.9998872571,1.0027454991,0.9993437717
USDC,2020-06-06,1.0004904836,1.000597194,1.0020441902,0.9995559811
USDC,2020-06-07,0.9995855627,1.0004904836,1.0018340929,0.9992496886
USDC,2020-06-08,0.999653462,0.9995855627,1.0025564676,0.9990533258
USDC,2020-06-09,1.0002133804,0.9996534723,1.0014234365,0.9982781685
USDC,2020-06-10,1.0003570706,1.0003963637,1.0027022947,0.9973581175
USDC,2020-06-11,1.0002839745,1.0003570706,1.0031505477,0.9990004847
USDC,2020-06-12,1.0005403275,1.0002839745,1.0028954593,0.9982344409
USDC,2020-06-13,1.0001429652,1.0005403275,1.001034167,0.9996159005
USDC,2020-06-14,1.0003729005,1.0001429652,1.0012288917,0.9997530487
USDC,2020-06-15,0.9998895374,1.0003729005,1.0021103709,0.9984837156
USDC,2020-06-16,0.9999433151,0.9998895374,1.0035556349,0.9983395849
